METER_NO,TASK,REASON
111210249177,Connect,09.04.2024 16:35:19 da haqdor: -1978.23
121206048839,Connect,09.04.2024 16:35:19 da haqdor: -18788.91
021218321324,Connect,09.04.2024 16:35:19 da haqdor: -5832.73
121205284020,Connect,09.04.2024 16:35:20 da haqdor: -13507.95
121206919084,Connect,09.04.2024 16:35:20 da haqdor: -9024.4
021198226747,Connect,09.04.2024 16:35:20 da haqdor: -7290
121205525086,Connect,09.04.2024 16:35:20 da haqdor: -36893.25
121205805040,Connect,09.04.2024 16:35:20 da haqdor: -87722.81
111210050563,Connect,09.04.2024 16:35:20 da haqdor: -39932.01
121205026275,Connect,09.04.2024 16:35:20 da haqdor: -15818.3
111210056897,Disconnect,09.04.2024 16:35:20 da qarzdor: 240438.93
111210465357,Disconnect,09.04.2024 16:35:20 da qarzdor: 1156.57
021191095386,Connect,09.04.2024 16:35:20 da haqdor: -73224.54
121205160644,Connect,09.04.2024 16:35:20 da haqdor: -35902.68
121206016254,Connect,09.04.2024 16:35:20 da haqdor: -81958.85
111200912303,Connect,09.04.2024 16:35:20 da haqdor: -27949.4
123200306434,Connect,09.04.2024 16:35:20 da haqdor: -49962.29
111200025487,Connect,09.04.2024 16:35:20 da haqdor: -26263
EX-2338702,Connect,09.04.2024 16:35:20 da haqdor: -11713.06
EX-2408274,Connect,09.04.2024 16:35:20 da haqdor: -26471.8
EX-2083715,Connect,09.04.2024 16:35:20 da haqdor: -64127.89
021198250692,Connect,09.04.2024 16:35:20 da haqdor: -16808.77
EX-2195103,Connect,09.04.2024 16:35:20 da haqdor: -31855
111210141386,Connect,09.04.2024 16:35:21 da haqdor: -18843.01
EX-2521296,Connect,09.04.2024 16:35:21 da haqdor: -29946.3
EX-2566432,Connect,09.04.2024 16:35:21 da haqdor: -56924.3
EX-2532171,Disconnect,09.04.2024 16:35:21 da qarzdor: 517.63
111200228273,Connect,09.04.2024 16:35:21 da haqdor: -13540.15
121206138309,Connect,09.04.2024 16:35:21 da haqdor: -71858.64
021191112038,Connect,09.04.2024 16:35:21 da haqdor: -150246.78
111200874633,Connect,09.04.2024 16:35:21 da haqdor: -28687.45
111200622871,Disconnect,09.04.2024 16:35:21 da qarzdor: 55359.03
EX-3451096,Connect,09.04.2024 16:35:21 da haqdor: -85711.81
111200295233,Connect,09.04.2024 16:35:21 da haqdor: -24453.22
111201045637,Connect,09.04.2024 16:35:21 da haqdor: -915.15
111200271883,Disconnect,09.04.2024 16:35:21 da qarzdor: 554528.13
111200010234,Connect,09.04.2024 16:35:21 da haqdor: -159898.17
111200926024,Connect,09.04.2024 16:35:21 da haqdor: -6032.78
111200360800,Connect,09.04.2024 16:35:21 da haqdor: -49334.79
111200421415,Connect,09.04.2024 16:35:21 da haqdor: -121211.28
111200573657,Disconnect,09.04.2024 16:35:21 da qarzdor: 678313.48
EX-2643603,Connect,09.04.2024 16:35:22 da haqdor: -5257.21
EX-2676859,Connect,09.04.2024 16:35:22 da haqdor: -55233.74
EX-2380450,Connect,09.04.2024 16:35:22 da haqdor: -21229.54
111190081388,Disconnect,09.04.2024 16:35:22 da qarzdor: 148766.84
121206636138,Disconnect,09.04.2024 16:35:22 da qarzdor: 0
123200489509,Connect,09.04.2024 16:35:22 da haqdor: -90208.72
121206820328,Disconnect,09.04.2024 16:35:22 da qarzdor: 921562.74
121205666111,Connect,09.04.2024 16:35:22 da haqdor: -254458.1
121206157968,Connect,09.04.2024 16:35:22 da haqdor: -32394.81
111190043195,Disconnect,09.04.2024 16:35:22 da qarzdor: 530.23
111220136742,Connect,09.04.2024 16:35:22 da haqdor: -12482.68
121205535214,Connect,09.04.2024 16:35:22 da haqdor: -35758.38
121206199666,Connect,09.04.2024 16:35:22 da haqdor: -3950.47
111210125007,Disconnect,09.04.2024 16:35:22 da qarzdor: 118346.7
121205479410,Connect,09.04.2024 16:35:22 da haqdor: -44817.72
021199009154,Connect,09.04.2024 16:35:22 da haqdor: -18623.97
121205542175,Connect,09.04.2024 16:35:22 da haqdor: -78392.15
EX-2112040,Connect,09.04.2024 16:35:23 da haqdor: -9953.68
111210278291,Connect,09.04.2024 16:35:23 da haqdor: -26677.83
111200110358,Connect,09.04.2024 16:35:23 da haqdor: -68878.02
111200726579,Disconnect,09.04.2024 16:35:23 da qarzdor: 79049.29
021238400980,Connect,09.04.2024 16:35:23 da haqdor: -14.17
EX-2607271,Connect,09.04.2024 16:35:23 da haqdor: -54296.48
111200219941,Connect,09.04.2024 16:35:23 da haqdor: -114410.45
111210163404,Disconnect,09.04.2024 16:35:23 da qarzdor: 39790.26
201920001657,Connect,09.04.2024 16:35:23 da haqdor: -78252.38
111210090827,Connect,09.04.2024 16:35:23 da haqdor: -53564.4
EX-3116973,Connect,09.04.2024 16:35:23 da haqdor: -8389.61
111200428783,Connect,09.04.2024 16:35:23 da haqdor: -93999.08
201930012722,Connect,09.04.2024 16:35:23 da haqdor: -16282.31
EX-3517919,Connect,09.04.2024 16:35:23 da haqdor: -77108.16
111210604172,Disconnect,09.04.2024 16:35:23 da qarzdor: 138002.15
021190661375,Connect,09.04.2024 16:35:23 da haqdor: -67418.6
021211160072,Connect,09.04.2024 16:35:23 da haqdor: -49210.09
111190060023,Connect,09.04.2024 16:35:23 da haqdor: -53026.62
111210047125,Connect,09.04.2024 16:35:23 da haqdor: -75351.29
111200007894,Connect,09.04.2024 16:35:23 da haqdor: -4562.8
201830003526,Connect,09.04.2024 16:35:23 da haqdor: -59447.43
EX-2927109,Connect,09.04.2024 16:35:24 da haqdor: -30695.92
EX-2239088,Connect,09.04.2024 16:35:24 da haqdor: -1316687.99
121205102205,Connect,09.04.2024 16:35:24 da haqdor: -9029.58
121206146945,Connect,09.04.2024 16:35:24 da haqdor: -43564.02
021221187017,Connect,09.04.2024 16:35:24 da haqdor: -6343.83
021198027203,Connect,09.04.2024 16:35:24 da haqdor: -241127.1
111210778720,Disconnect,09.04.2024 16:35:24 da qarzdor: 2861499.33
EX-2169884,Connect,09.04.2024 16:35:24 da haqdor: -19638.72
EX-2214106,Connect,09.04.2024 16:35:24 da haqdor: -98180.34
111210167955,Connect,09.04.2024 16:35:24 da haqdor: -137639.55
111210729614,Disconnect,09.04.2024 16:35:24 da qarzdor: 76584.46
121205514441,Connect,09.04.2024 16:35:24 da haqdor: -14164.72
EX-2788807,Connect,09.04.2024 16:35:24 da haqdor: -4348.35
021218339375,Connect,09.04.2024 16:35:24 da haqdor: -45669.34
EX-3020228,Connect,09.04.2024 16:35:24 da haqdor: -27684.26
111200271398,Disconnect,09.04.2024 16:35:24 da qarzdor: 657398.49
021191106728,Connect,09.04.2024 16:35:24 da haqdor: -16735.17
021191016127,Disconnect,09.04.2024 16:35:25 da qarzdor: 3767.85
023190046722,Connect,09.04.2024 16:35:25 da haqdor: -14361.4
113210026720,Connect,09.04.2024 16:35:25 da haqdor: -17565.29
111200814100,Disconnect,09.04.2024 16:35:25 da qarzdor: 27099.91
021190870904,Connect,09.04.2024 16:35:25 da haqdor: -19219.53
111200694797,Connect,09.04.2024 16:35:25 da haqdor: -56713.1
023210064937,Connect,09.04.2024 16:35:25 da haqdor: -260796.89
111200776833,Connect,09.04.2024 16:35:25 da haqdor: -12464.5
111201093177,Disconnect,09.04.2024 16:35:25 da qarzdor: 83741.29
111210838771,Connect,09.04.2024 16:35:25 da haqdor: -66187.73
111190064483,Disconnect,09.04.2024 16:35:25 da qarzdor: 244604.11
111201006522,Connect,09.04.2024 16:35:25 da haqdor: -53263.73
111210786522,Connect,09.04.2024 16:35:25 da haqdor: -205.09
111190096931,Connect,09.04.2024 16:35:25 da haqdor: -23250.32
021211140816,Connect,09.04.2024 16:35:25 da haqdor: -44413.28
