METER_NO,TASK,REASON
121206346974,Connect,16.04.2024 17:32:11 da haqdor: -499974.02
111200803371,Connect,16.04.2024 17:32:12 da haqdor: -105955.15
111210343373,Connect,16.04.2024 17:32:12 da haqdor: -9794.81
111201059388,Connect,16.04.2024 17:32:12 da haqdor: -54656.6
111210098425,Connect,16.04.2024 17:32:12 da haqdor: -12893.17
111200981356,Connect,16.04.2024 17:32:12 da haqdor: -113459.47
111210067006,Connect,16.04.2024 17:32:12 da haqdor: -28692.22
111210324445,Connect,16.04.2024 17:32:12 da haqdor: -6671.93
111210154788,Connect,16.04.2024 17:32:12 da haqdor: -4553.03
111210063001,Connect,16.04.2024 17:32:12 da haqdor: -6207.78
021190678070,Disconnect,16.04.2024 17:32:12 da qarzdor: 1992.69
021201124524,Disconnect,16.04.2024 17:32:12 da qarzdor: 72239.2
021198264205,Connect,16.04.2024 17:32:12 da haqdor: -4430.4
021230045916,Disconnect,16.04.2024 17:32:12 da qarzdor: 16750.1
021198271236,Connect,16.04.2024 17:32:12 da haqdor: -54746.36
111200987384,Disconnect,16.04.2024 17:32:12 da qarzdor: 0
113210031861,Connect,16.04.2024 17:32:12 da haqdor: -218954.84
111200102334,Connect,16.04.2024 17:32:12 da haqdor: -96085.55
111220068697,Disconnect,16.04.2024 17:32:12 da qarzdor: 264615
021190242013,Connect,16.04.2024 17:32:12 da haqdor: -3788.07
111210428819,Disconnect,16.04.2024 17:32:12 da qarzdor: 27418.59
111230268399,Disconnect,16.04.2024 17:32:12 da qarzdor: 0
111230262327,Connect,16.04.2024 17:32:13 da haqdor: -20383.5
111190060157,Disconnect,16.04.2024 17:32:13 da qarzdor: 166616.53
121205027207,Disconnect,16.04.2024 17:32:13 da qarzdor: 1702.19
111190069955,Disconnect,16.04.2024 17:32:13 da qarzdor: 3465.52
021190536856,Disconnect,16.04.2024 17:32:13 da qarzdor: 2012037.07
111190046828,Disconnect,16.04.2024 17:32:13 da qarzdor: 3092.64
123200479103,Disconnect,16.04.2024 17:32:13 da qarzdor: 4722.75
111220007935,Connect,16.04.2024 17:32:13 da haqdor: -5025238.74
EX-3191480,Connect,16.04.2024 17:32:13 da haqdor: -209632.13
EX-2251803,Connect,16.04.2024 17:32:13 da haqdor: -69943.69
123200479103,Disconnect,16.04.2024 17:32:13 da qarzdor: 4722.75
111190082868,Disconnect,16.04.2024 17:32:13 da qarzdor: 314990.81
121205635098,Disconnect,16.04.2024 17:32:13 da qarzdor: 263.26
111210118338,Disconnect,16.04.2024 17:32:13 da qarzdor: 157412.05
121205985366,Connect,16.04.2024 17:32:13 da haqdor: -20571.85
021190440073,Connect,16.04.2024 17:32:13 da haqdor: -50765
EX-3145256,Disconnect,16.04.2024 17:32:13 da qarzdor: 4874373.29
021218323706,Disconnect,16.04.2024 17:32:13 da qarzdor: 876.61
111210378707,Connect,16.04.2024 17:32:14 da haqdor: -4611.99
111220131378,Connect,16.04.2024 17:32:14 da haqdor: -29770
111210306769,Disconnect,16.04.2024 17:32:14 da qarzdor: 373809.94
111190057178,Disconnect,16.04.2024 17:32:14 da qarzdor: 42928.21
121205017987,Disconnect,16.04.2024 17:32:14 da qarzdor: 5327.46
121206885364,Connect,16.04.2024 17:32:14 da haqdor: -134065
111210316029,Disconnect,16.04.2024 17:32:14 da qarzdor: 3954.62
111220064441,Connect,16.04.2024 17:32:14 da haqdor: -217908.76
111200210222,Disconnect,16.04.2024 17:32:14 da qarzdor: 200.38
111190078463,Disconnect,16.04.2024 17:32:14 da qarzdor: 3526920.9
111230212674,Connect,16.04.2024 17:32:14 da haqdor: -35000
EX-2204389,Connect,16.04.2024 17:32:14 da haqdor: -29877.22
111210128968,Disconnect,16.04.2024 17:32:14 da qarzdor: 67.42
111190091890,Disconnect,16.04.2024 17:32:14 da qarzdor: 383575.09
021190816167,Disconnect,16.04.2024 17:32:14 da qarzdor: 226513.61
111210031209,Connect,16.04.2024 17:32:14 da haqdor: -8100.24
111210028089,Connect,16.04.2024 17:32:15 da haqdor: -9693.74
111210389437,Connect,16.04.2024 17:32:15 da haqdor: -3205.84
111200864345,Connect,16.04.2024 17:32:15 da haqdor: -2943.2
111210340297,Connect,16.04.2024 17:32:15 da haqdor: -58522.14
021198274309,Connect,16.04.2024 17:32:15 da haqdor: -20589.73
021198030791,Connect,16.04.2024 17:32:15 da haqdor: -1664.56
021180128938,Connect,16.04.2024 17:32:15 da haqdor: -13502.6
021190244541,Connect,16.04.2024 17:32:15 da haqdor: -53884.82
021180044472,Connect,16.04.2024 17:32:15 da haqdor: -3192.8
111210644221,Disconnect,16.04.2024 17:32:15 da qarzdor: 3232672.46
111210172988,Disconnect,16.04.2024 17:32:15 da qarzdor: 2260.36
021180052142,Connect,16.04.2024 17:32:15 da haqdor: -34878.1
111200913056,Connect,16.04.2024 17:32:15 da haqdor: -19369.27
111200801371,Connect,16.04.2024 17:32:15 da haqdor: -27994.25
111200760017,Connect,16.04.2024 17:32:15 da haqdor: -124663.27
111200856199,Connect,16.04.2024 17:32:15 da haqdor: -2048.08
111210334576,Connect,16.04.2024 17:32:15 da haqdor: -9029.75
111200721498,Connect,16.04.2024 17:32:15 da haqdor: -8152.38
111210107058,Connect,16.04.2024 17:32:16 da haqdor: -8380
111210459075,Connect,16.04.2024 17:32:16 da haqdor: -5637.08
111210390284,Connect,16.04.2024 17:32:16 da haqdor: -9850.93
111201110783,Connect,16.04.2024 17:32:16 da haqdor: -9198.01
111210326971,Connect,16.04.2024 17:32:16 da haqdor: -3839.53
111210001188,Connect,16.04.2024 17:32:16 da haqdor: -59789.11
111210384917,Connect,16.04.2024 17:32:16 da haqdor: -9239.2
111200809554,Connect,16.04.2024 17:32:16 da haqdor: -8768.94
111230250270,Connect,16.04.2024 17:32:16 da haqdor: -8881.75
111210854927,Connect,16.04.2024 17:32:16 da haqdor: -4255.74
111220174018,Disconnect,16.04.2024 17:32:16 da qarzdor: 203205
111210203989,Disconnect,16.04.2024 17:32:16 da qarzdor: 4714050.7
111220140792,Connect,16.04.2024 17:32:16 da haqdor: -66571.91
111220158814,Disconnect,16.04.2024 17:32:16 da qarzdor: 894164.94
121206837276,Disconnect,16.04.2024 17:32:16 da qarzdor: 63960
111220167551,Connect,16.04.2024 17:32:17 da haqdor: -66566.17
113210069484,Connect,16.04.2024 17:32:17 da haqdor: -49118.94
121206927660,Connect,16.04.2024 17:32:17 da haqdor: -238463.99
111230238097,Connect,16.04.2024 17:32:17 da haqdor: -150000
111230234082,Connect,16.04.2024 17:32:17 da haqdor: -116450
111210560109,Connect,16.04.2024 17:32:17 da haqdor: -107295.98
111230253253,Connect,16.04.2024 17:32:17 da haqdor: -180230.29
111230272099,Connect,16.04.2024 17:32:17 da haqdor: -113006.24
111230274183,Connect,16.04.2024 17:32:17 da haqdor: -37380.59
111220176867,Disconnect,16.04.2024 17:32:17 da qarzdor: 267595.95
111210640888,Connect,16.04.2024 17:32:17 da haqdor: -9910
111200669455,Connect,16.04.2024 17:32:17 da haqdor: -8581.3
111210383801,Connect,16.04.2024 17:32:17 da haqdor: -6096.96
111210073472,Disconnect,16.04.2024 17:32:18 da qarzdor: 113657.44
111210061199,Connect,16.04.2024 17:32:18 da haqdor: -4397.88
111220040107,Connect,16.04.2024 17:32:18 da haqdor: -56910
111201036266,Connect,16.04.2024 17:32:18 da haqdor: -3209.81
111201107568,Connect,16.04.2024 17:32:18 da haqdor: -9823.48
111200886442,Connect,16.04.2024 17:32:18 da haqdor: -7308.84
111200844373,Connect,16.04.2024 17:32:18 da haqdor: -8600.92
111210353750,Connect,16.04.2024 17:32:18 da haqdor: -7459.2
111210301244,Connect,16.04.2024 17:32:18 da haqdor: -10000
111201108088,Connect,16.04.2024 17:32:18 da haqdor: -68625
111200707985,Connect,16.04.2024 17:32:18 da haqdor: -5003.56
021230031310,Disconnect,16.04.2024 17:32:18 da qarzdor: 247390
021180135876,Connect,16.04.2024 17:32:18 da haqdor: -2697.72
021190334544,Connect,16.04.2024 17:32:18 da haqdor: -1782.7
111190050207,Disconnect,16.04.2024 17:32:18 da qarzdor: 59502.49
111200373176,Disconnect,16.04.2024 17:32:18 da qarzdor: 37203.48
111200383598,Disconnect,16.04.2024 17:32:19 da qarzdor: 2607929.3
111190361324,Connect,16.04.2024 17:32:19 da haqdor: -48699.82
201920002098,Disconnect,16.04.2024 17:32:19 da qarzdor: 49548.18
111190370750,Connect,16.04.2024 17:32:19 da haqdor: -45620.78
201930008729,Disconnect,16.04.2024 17:32:19 da qarzdor: 457084.41
021230045561,Disconnect,16.04.2024 17:32:19 da qarzdor: 157368.86
111210026005,Connect,16.04.2024 17:32:19 da haqdor: -31415.79
021190531527,Connect,16.04.2024 17:32:19 da haqdor: -1254.1
111220099332,Disconnect,16.04.2024 17:32:19 da qarzdor: 5665.48
111230224346,Disconnect,16.04.2024 17:32:19 da qarzdor: 0
111230202430,Connect,16.04.2024 17:32:19 da haqdor: -38276.21
111230204407,Disconnect,16.04.2024 17:32:19 da qarzdor: 17045.06
111230235489,Disconnect,16.04.2024 17:32:19 da qarzdor: 583662.65
021218389260,Disconnect,16.04.2024 17:32:19 da qarzdor: 60
111210111677,Disconnect,16.04.2024 17:32:19 da qarzdor: 2020.18
111220179326,Disconnect,16.04.2024 17:32:19 da qarzdor: 1048224.76
111190067226,Disconnect,16.04.2024 17:32:19 da qarzdor: 71966.32
021190674886,Disconnect,16.04.2024 17:32:19 da qarzdor: 64458.95
121206061580,Disconnect,16.04.2024 17:32:19 da qarzdor: 1436.87
111210583976,Disconnect,16.04.2024 17:32:19 da qarzdor: 243057.46
121206605283,Disconnect,16.04.2024 17:32:19 da qarzdor: 777.02
111210600076,Disconnect,16.04.2024 17:32:19 da qarzdor: 34310
021190577411,Disconnect,16.04.2024 17:32:20 da qarzdor: 2480.24
111200380367,Connect,16.04.2024 17:32:20 da haqdor: -176702.43
021198095573,Disconnect,16.04.2024 17:32:20 da qarzdor: 10268.61
111190030027,Disconnect,16.04.2024 17:32:20 da qarzdor: 26988.88
201820026973,Connect,16.04.2024 17:32:20 da haqdor: -74736.92
023190011828,Connect,16.04.2024 17:32:20 da haqdor: -519216.08
111200939682,Connect,16.04.2024 17:32:20 da haqdor: -37913.76
111200885510,Connect,16.04.2024 17:32:20 da haqdor: -9236.8
111200851013,Connect,16.04.2024 17:32:20 da haqdor: -3282.07
111210006779,Disconnect,16.04.2024 17:32:20 da qarzdor: 466666.3
111210204521,Disconnect,16.04.2024 17:32:20 da qarzdor: 533667.96
111190002163,Connect,16.04.2024 17:32:20 da haqdor: -129674.39
111210640433,Disconnect,16.04.2024 17:32:20 da qarzdor: 14077.58
111190090468,Disconnect,16.04.2024 17:32:20 da qarzdor: 44298.46
021190819700,Disconnect,16.04.2024 17:32:20 da qarzdor: 1871571.02
111210267762,Connect,16.04.2024 17:32:20 da haqdor: -4797.37
111210269389,Connect,16.04.2024 17:32:20 da haqdor: -58884.25
111210097785,Connect,16.04.2024 17:32:21 da haqdor: -5176.55
111210002915,Connect,16.04.2024 17:32:21 da haqdor: -1808.95
111210267338,Connect,16.04.2024 17:32:21 da haqdor: -3357.52
